Year,Country,Region,Yearly_Emission,GDP per capita
2020,Luxembourg,OECD_Europe,755.6036374333333,-3.399438656
2021,Luxembourg,OECD_Europe,780.6511893833334,5.439659393
2020,Latvia,Central Europe,1183.161718416667,-3.091924678
2021,Latvia,Central Europe,1200.0228618833335,5.441217335
2020,Morocco,Northern_Africa,6084.939353583334,-7.426649837
2021,Morocco,Northern_Africa,6647.959053499999,6.103234472
2020,Madagascar,Eastern_Africa,2702.4134058333334,-9.560810894
2021,Madagascar,Eastern_Africa,2719.8966532500003,1.698150178
2020,Maldives,India +,178.98880290833333,-34.67909528
2021,Maldives,India +,185.5505016333333,30.22132497
2020,Mexico,Mexico,39477.84284583333,-9.134043843
2021,Mexico,Mexico,41153.823834999996,3.727622936
2020,Mali,Western_Africa,1554.740881125,-4.126625763
2021,Mali,Western_Africa,1565.774903175,0.080478084
2020,Malta,Central Europe,139.312225175,-10.35315468
2021,Malta,Central Europe,149.50161279166664,9.088178157
2020,Myanmar,Southeastern Asia,9377.056095,2.482839336
2021,Myanmar,Southeastern Asia,9393.206961916667,-18.57767153
2020,Mongolia,China +,2084.15571275,-6.104430814
2021,Mongolia,China +,2121.8429786666666,-0.132315991
2020,Mozambique,Southern_Africa,3006.8071390833334,-4.04435369
2021,Mozambique,Southern_Africa,3064.320001666667,-0.659866191
2020,Mauritania,Western_Africa,646.6548785333333,-4.382355251
2021,Mauritania,Western_Africa,673.7805176083334,-0.387834248
2020,Mauritius,Eastern_Africa,404.2366345333333,-14.89662556
2021,Mauritius,Eastern_Africa,420.93723765000004,4.013923294
2020,Malawi,Southern_Africa,1246.4931191666667,-1.840967838
2021,Malawi,Southern_Africa,1267.5405055,0.043866351
2020,Malaysia,Southeastern Asia,22204.587574166668,-6.860268586
2021,Malaysia,Southeastern Asia,21792.615460833335,1.841876115
2020,Namibia,Southern_Africa,458.97027102500005,-9.548118747
2021,Namibia,Southern_Africa,471.22435567499997,0.592596773
2020,Niger,Western_Africa,1375.321960766667,-0.253615444
2021,Niger,Western_Africa,1371.5960686666665,-2.375121496
2020,Nigeria,Western_Africa,50367.1799625,-4.260113144
2021,Nigeria,Western_Africa,50928.67919166668,1.06772505
2020,Nicaragua,Rest Central America,1042.1839981416667,-2.961357916
2021,Nicaragua,Rest Central America,1092.76222885,9.063653505
2020,Netherlands,OECD_Europe,13463.081838333334,-4.331592046
2021,Netherlands,OECD_Europe,14163.92790916667,4.485334432
2020,Norway,OECD_Europe,4052.199457166667,-1.300000154
2021,Norway,OECD_Europe,4117.274403750001,3.368398954
2020,Nepal,India +,5403.81762,-4.139132233
2021,Nepal,India +,5432.945631,2.356571795
2020,New Zealand,Oceania,3875.75342125,-3.406009042
2021,New Zealand,Oceania,3819.278410416667,3.984924787
2020,Pakistan,India +,35292.790687500004,-3.26235528
2021,Pakistan,India +,36971.265616666664,4.00162734
2020,Panama,Rest Central America,1158.9011504166667,-19.24427656
2021,Panama,Rest Central America,1275.30023775,13.57705682
2020,Peru,Rest South America,5545.079807833335,-12.19876201
2021,Peru,Rest South America,6293.50448975,12.03261345
2020,Philippines,Southeastern Asia,18643.356044999997,-10.7275099
2021,Philippines,Southeastern Asia,19458.941519166667,4.3078688
2020,Papua New Guinea,Indonesia +,1023.9709837999999,-5.343363375
2021,Papua New Guinea,Indonesia +,1040.4792455499999,-0.414218382
2020,Poland,Central Europe,27989.107831666668,-2.369894926
2021,Poland,Central Europe,30034.531707499995,6.062940882
2020,Portugal,OECD_Europe,4964.923305249999,-8.53864532
2021,Portugal,OECD_Europe,4917.983780666667,4.85736102
2020,Paraguay,Rest South America,2353.378155166667,-2.041939135
2021,Paraguay,Rest South America,2438.5594994999997,2.942623045
2020,Qatar,Middle_East,7896.04968725,-5.278929394
2021,Qatar,Middle_East,8143.170687333334,-0.190205169
2020,Romania,Central Europe,7508.7367178333325,-3.177478128
2021,Romania,Central Europe,8152.263937583334,6.668283983
2020,Russian Federation,Russia +,152955.11410000004,-2.480729428
2021,Russian Federation,Russia +,164880.51323333333,5.234384483
2020,Rwanda,Eastern_Africa,748.5558578333331,-5.785818668
2021,Rwanda,Eastern_Africa,756.0551763333334,8.175921971
2020,Saudi Arabia,Middle_East,47947.138905,-5.63929532
2021,Saudi Arabia,Middle_East,48904.0567825,1.701947951
2020,Sudan,Eastern_Africa,5206.7413045,-5.906758637
2021,Sudan,Eastern_Africa,5284.418614916667,-2.248606652
2020,Senegal,Western_Africa,1538.8263210833331,-1.38294226
2021,Senegal,Western_Africa,1634.4928383333333,3.274289805
2020,Singapore,Southeastern Asia,4776.72893,-3.843656456
2021,Singapore,Southeastern Asia,4973.811185416666,12.19672081
2020,Solomon Islands,Oceania,38.24018099916666,-6.695694408
2021,Solomon Islands,Oceania,39.20747698583333,-2.604359414
