Year,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Region,Yearly_Emission,GDP per capita
2021,Fiji,146.0,22034.0,2.0,258.0,Oceania,267.47919060833334,-4.76716543
2020,Fiji,0.0,21.0,0.0,1.0,Oceania,272.8384203416667,-15.76500599
2021,Finland,643.0,111024.0,3.0,1030.0,OECD_Europe,8624.823328916667,3.247626366
2020,Finland,100.0,9062.0,2.0,250.0,OECD_Europe,8487.391483416666,-2.439493859
2021,France,18952.0,5598607.0,156.0,103541.0,OECD_Europe,31164.670020833335,6.774306811
2020,France,7047.0,549944.0,176.0,25178.0,OECD_Europe,29123.877150000004,-8.034379209
2021,Gabon,88.0,24710.0,1.0,162.0,Western_Africa,1770.4379535833332,-0.859906308
2020,Gabon,26.0,4673.0,0.0,31.0,Western_Africa,1769.3157086666668,-4.181858235
2021,Georgia,1938.0,465391.0,31.0,6453.0,Russia +,1052.69047385,10.77870188
2020,Georgia,625.0,25474.0,7.0,244.0,Russia +,1019.2365072749999,-6.824432632
2021,Germany,14880.0,3775693.0,186.0,90215.0,OECD_Europe,64440.23855083333,2.93169775
2020,Germany,4766.0,318395.0,138.0,10040.0,OECD_Europe,61683.00862666667,-4.647544976
2020,Ghana,151.0,24006.0,1.0,85.0,Western_Africa,3211.4905228333337,-1.605116474
2021,Ghana,249.0,103248.0,3.0,872.0,Western_Africa,3383.844531416667,3.167869583
2021,Greece,2828.0,485198.0,44.0,12007.0,OECD_Europe,4902.431395333334,8.701686405
2020,Greece,379.0,21535.0,13.0,560.0,OECD_Europe,4802.43768725,-8.840356712
2021,Grenada,16.0,1805.0,1.0,53.0,Rest Central America,29.56989727916667,4.854113223
2020,Grenada,0.0,22.0,0.0,0.0,Rest Central America,26.64970236166667,-14.15180213
2021,Guatemala,1341.0,359042.0,31.0,10109.0,Rest Central America,5018.977392916667,5.947602764
2020,Guatemala,377.0,44870.0,13.0,1596.0,Rest Central America,4806.85002875,-3.004905372
2021,Guinea,51.0,24178.0,1.0,228.0,Western_Africa,2123.6484350833334,0.338753032
2020,Guinea,38.0,5863.0,0.0,35.0,Western_Africa,2107.4058642500004,1.756611403
2020,Guinea-Bissau,7.0,1336.0,0.0,20.0,Western_Africa,406.57763759166664,-4.734913754
2021,Guinea-Bissau,11.0,4536.0,0.0,90.0,Western_Africa,409.72505714166664,1.354110998
2020,Guyana,17.0,1473.0,0.0,44.0,Rest South America,364.8015454083333,42.78930049
2021,Guyana,90.0,21016.0,2.0,517.0,Rest South America,356.12941328333335,19.35515616
2021,Haiti,44.0,17979.0,1.0,459.0,Rest Central America,1318.4674551666667,-2.982189831
2020,Haiti,27.0,4659.0,1.0,112.0,Rest Central America,1292.8350559166668,-4.525491823
2021,Honduras,709.0,268492.0,20.0,7082.0,Rest Central America,1693.103311,10.76287114
2020,Honduras,332.0,38954.0,9.0,1117.0,Rest Central America,1643.2286673333335,-10.42150115
2020,Hungary,886.0,42722.0,26.0,1243.0,Central Europe,5237.15282475,-4.257530879
2021,Hungary,2559.0,756717.0,81.0,26398.0,Central Europe,5324.828056833333,7.540698898
2020,Iceland,16.0,2207.0,0.0,10.0,OECD_Europe,231.53250155833337,-8.00918541
2021,Iceland,58.0,9540.0,0.0,31.0,OECD_Europe,248.11709182499996,2.07533548
2020,India,28205.0,2950603.0,409.0,46765.0,India +,289662.85484166665,-7.515674992
2021,India,67321.0,25179574.0,911.0,331666.0,India +,310439.71271666663,7.899879116
2021,Indonesia,9643.0,2706383.0,334.0,83894.0,Indonesia +,71090.76182166667,2.626356801
2020,Indonesia,2042.0,166411.0,61.0,5903.0,Indonesia +,70302.56995333334,-3.102651719
2020,Iraq,1633.0,175890.0,35.0,4424.0,Middle_East,14076.633541666664,-13.33639738
2021,Iraq,4107.0,1400601.0,31.0,18093.0,Middle_East,15060.589367500002,0.395050371
2021,Ireland,1868.0,327567.0,10.0,4897.0,OECD_Europe,3150.9975109166676,12.51824097
2020,Ireland,251.0,28709.0,6.0,1269.0,OECD_Europe,2968.43604425,4.776937267
2021,Israel,2636.0,967313.0,13.0,6641.0,Middle_East,4986.587222833333,6.467707351
2020,Israel,1153.0,112925.0,9.0,928.0,Middle_East,5012.538692916666,-3.863999473
2021,Italy,10679.0,4071351.0,174.0,119267.0,OECD_Europe,31561.184804166667,7.33584014
2020,Italy,5724.0,409872.0,202.0,28869.0,OECD_Europe,29569.268764999997,-8.597873461
2020,Jamaica,35.0,3116.0,1.0,64.0,Rest Central America,700.9283501333334,-10.39158965
2021,Jamaica,221.0,55118.0,6.0,1233.0,Rest Central America,769.3674357416667,4.167277268
2021,Japan,4118.0,999293.0,41.0,13130.0,Japan,94887.94191833334,2.089279405
2020,Japan,633.0,49980.0,9.0,981.0,Japan,92429.99041833333,-4.225555341
2020,Jordan,805.0,37911.0,10.0,464.0,Middle_East,1992.0390206666664,-2.530193235
2021,Jordan,2105.0,702186.0,24.0,8835.0,Middle_East,2057.394495666667,1.554027182
2020,Kazakhstan,551.0,70538.0,8.0,933.0,Asia-Stan,18148.121235,-3.757983454
2021,Kazakhstan,2388.0,607177.0,42.0,9859.0,Asia-Stan,17936.68596,2.648621825
2020,Kenya,264.0,24146.0,5.0,431.0,Eastern_Africa,6294.323501416667,-2.471299332
2021,Kenya,537.0,186663.0,10.0,3607.0,Eastern_Africa,6376.479294083335,5.14275096
2021,Latvia,646.0,143464.0,11.0,2485.0,Central Europe,1200.0228618833335,5.441217335
2020,Latvia,112.0,4172.0,2.0,61.0,Central Europe,1183.161718416667,-3.091924678
2021,Lebanon,1495.0,526365.0,21.0,6966.0,Middle_East,2213.624866583333,-9.775285311
2020,Lebanon,489.0,29883.0,4.0,253.0,Middle_East,2147.311556,-25.57917409
2021,Lesotho,74.0,14343.0,2.0,406.0,Southern_Africa,358.9088716666667,0.229150505
2020,Lesotho,7.0,729.0,0.0,25.0,Southern_Africa,360.0895872416666,-8.289676751
2021,Liberia,13.0,3963.0,1.0,189.0,Western_Africa,1352.3787595833335,1.540026687
2020,Liberia,5.0,774.0,0.0,48.0,Western_Africa,1344.1843800000004,-5.290171594
2020,Lithuania,398.0,13598.0,5.0,163.0,Central Europe,1781.0283585000004,-0.159159194
2021,Lithuania,1039.0,295862.0,15.0,4476.0,Central Europe,1791.2251779166666,4.987122852
2021,Luxembourg,154.0,70718.0,1.0,779.0,OECD_Europe,780.6511893833334,5.439659393
2020,Luxembourg,127.0,8971.0,1.0,120.0,OECD_Europe,755.6036374333333,-3.399438656
2021,Madagascar,89.0,36344.0,2.0,739.0,Eastern_Africa,2719.8966532500003,1.698150178
2020,Madagascar,49.0,7444.0,1.0,99.0,Eastern_Africa,2702.4134058333334,-9.560810894
2020,Malawi,18.0,2686.0,1.0,80.0,Southern_Africa,1246.4931191666667,-1.840967838
2021,Malawi,186.0,43996.0,6.0,1524.0,Southern_Africa,1267.5405055,0.043866351
2020,Malaysia,304.0,17014.0,1.0,134.0,Southeastern Asia,22204.587574166668,-6.860268586
2021,Malaysia,7244.0,1186803.0,85.0,11669.0,Southeastern Asia,21792.615460833335,1.841876115
2021,Maldives,225.0,59011.0,1.0,163.0,India +,185.5505016333333,30.22132497
2020,Maldives,38.0,4886.0,0.0,17.0,India +,178.98880290833333,-34.67909528
2020,Mali,19.0,2001.0,1.0,85.0,Western_Africa,1554.740881125,-4.126625763
2021,Mali,37.0,13458.0,1.0,488.0,Western_Africa,1565.774903175,0.080478084
2020,Malta,35.0,2567.0,1.0,32.0,Central Europe,139.312225175,-10.35315468
2021,Malta,108.0,31476.0,1.0,403.0,Central Europe,149.50161279166664,9.088178157
2021,Mauritania,74.0,25842.0,1.0,584.0,Western_Africa,673.7805176083334,-0.387834248
2020,Mauritania,39.0,4149.0,1.0,201.0,Western_Africa,646.6548785333333,-4.382355251
2021,Mauritius,248.0,18127.0,2.0,111.0,Eastern_Africa,420.93723765000004,4.013923294
2020,Mauritius,1.0,289.0,0.0,7.0,Eastern_Africa,404.2366345333333,-14.89662556
2021,Mexico,6955.0,2865705.0,428.0,246985.0,Mexico,41153.823834999996,3.727622936
2020,Mexico,4110.0,442679.0,406.0,51627.0,Mexico,39477.84284583333,-9.134043843
2021,Mongolia,1894.0,217007.0,5.0,691.0,China +,2121.8429786666666,-0.132315991
2020,Mongolia,3.0,249.0,0.0,0.0,China +,2084.15571275,-6.104430814
2020,Morocco,1201.0,85964.0,20.0,1461.0,Northern_Africa,6084.939353583334,-7.426649837
2021,Morocco,1435.0,669422.0,21.0,10883.0,Northern_Africa,6647.959053499999,6.103234472
2020,Mozambique,51.0,4431.0,0.0,34.0,Southern_Africa,3006.8071390833334,-4.04435369
2021,Mozambique,454.0,99904.0,5.0,1207.0,Southern_Africa,3064.320001666667,-0.659866191
2021,Myanmar,1113.0,283389.0,45.0,9249.0,Southeastern Asia,9393.206961916667,-18.57767153
2020,Myanmar,342.0,18314.0,7.0,401.0,Southeastern Asia,9377.056095,2.482839336
2020,Namibia,66.0,4978.0,1.0,52.0,Southern_Africa,458.97027102500005,-9.548118747
2021,Namibia,342.0,86073.0,9.0,1957.0,Southern_Africa,471.22435567499997,0.592596773
2020,Nepal,716.0,58361.0,8.0,507.0,India +,5403.81762,-4.139132233
2021,Nepal,1556.0,567827.0,24.0,7584.0,India +,5432.945631,2.356571795
2020,Netherlands,2159.0,136049.0,31.0,4926.0,OECD_Europe,13463.081838333334,-4.331592046
2021,Netherlands,6381.0,1725398.0,26.0,17226.0,OECD_Europe,14163.92790916667,4.485334432
2021,New Zealand,33.0,3987.0,0.0,29.0,Oceania,3819.278410416667,3.984924787
2020,New Zealand,5.0,1033.0,0.0,16.0,Oceania,3875.75342125,-3.406009042
2020,Nicaragua,13.0,2131.0,0.0,77.0,Rest Central America,1042.1839981416667,-2.961357916
2021,Nicaragua,24.0,8071.0,0.0,191.0,Rest Central America,1092.76222885,9.063653505
2021,Niger,11.0,5564.0,0.0,197.0,Western_Africa,1371.5960686666665,-2.375121496
2020,Niger,9.0,903.0,0.0,66.0,Western_Africa,1375.321960766667,-0.253615444
2020,Nigeria,238.0,30617.0,4.0,581.0,Western_Africa,50367.1799625,-4.260113144
2021,Nigeria,424.0,175750.0,5.0,2263.0,Western_Africa,50928.67919166668,1.06772505
2021,Norway,936.0,148690.0,3.0,811.0,OECD_Europe,4117.274403750001,3.368398954
2020,Norway,135.0,12104.0,1.0,195.0,OECD_Europe,4052.199457166667,-1.300000154
2021,Pakistan,2240.0,948882.0,52.0,21157.0,India +,36971.265616666664,4.00162734
2020,Pakistan,1311.0,181620.0,28.0,3755.0,India +,35292.790687500004,-3.26235528
2021,Panama,693.0,403456.0,10.0,6492.0,Rest Central America,1275.30023775,13.57705682
2020,Panama,655.0,61225.0,11.0,1218.0,Rest Central America,1158.9011504166667,-19.24427656
2020,Papua New Guinea,2.0,230.0,0.0,3.0,Indonesia +,1023.9709837999999,-5.343363375
2021,Papua New Guinea,97.0,16102.0,2.0,176.0,Indonesia +,1040.4792455499999,-0.414218382
2020,Paraguay,292.0,21916.0,6.0,454.0,Rest South America,2353.378155166667,-2.041939135
2021,Paraguay,986.0,345266.0,39.0,10621.0,Rest South America,2438.5594994999997,2.942623045
2021,Peru,3499.0,1860594.0,300.0,171362.0,Rest South America,6293.50448975,12.03261345
2020,Peru,2776.0,393342.0,256.0,41584.0,Rest South America,5545.079807833335,-12.19876201
2021,Philippines,6489.0,1580274.0,115.0,26766.0,Southeastern Asia,19458.941519166667,4.3078688
2020,Philippines,1298.0,145747.0,25.0,2855.0,Southeastern Asia,18643.356044999997,-10.7275099
2021,Poland,7704.0,2681016.0,187.0,66858.0,Central Europe,30034.531707499995,6.062940882
2020,Poland,3566.0,191200.0,79.0,3878.0,Central Europe,27989.107831666668,-2.369894926
2020,Portugal,1063.0,74670.0,19.0,1686.0,OECD_Europe,4964.923305249999,-8.53864532
2021,Portugal,2664.0,912224.0,33.0,16594.0,OECD_Europe,4917.983780666667,4.85736102
2020,Qatar,395.0,72451.0,1.0,113.0,Middle_East,7896.04968725,-5.278929394
2021,Qatar,291.0,209764.0,1.0,490.0,Middle_East,8143.170687333334,-0.190205169
2021,Romania,3231.0,1147500.0,118.0,33504.0,Central Europe,8152.263937583334,6.668283983
2020,Romania,1725.0,113169.0,43.0,3386.0,Central Europe,7508.7367178333325,-3.177478128
2021,Russian Federation,20111.0,6166268.0,690.0,156602.0,Russia +,164880.51323333333,5.234384483
2020,Russian Federation,8679.0,812835.0,157.0,13703.0,Russia +,152955.11410000004,-2.480729428
2021,Rwanda,280.0,54886.0,3.0,706.0,Eastern_Africa,756.0551763333334,8.175921971
2020,Rwanda,23.0,2273.0,0.0,14.0,Eastern_Africa,748.5558578333331,-5.785818668
2021,Samoa,0.0,1.0,0.0,0.0,Oceania,35.90915512916666,-8.874948283
2020,Samoa,0.0,0.0,0.0,0.0,Oceania,34.840466105833336,-3.236475806
2020,Sao Tome and Principe,3.0,532.0,0.0,10.0,Western_Africa,26.717142611666663,1.155038083
2021,Sao Tome and Principe,8.0,2554.0,0.0,39.0,Western_Africa,27.5884105775,-0.115552193
2021,Saudi Arabia,528.0,472327.0,7.0,7703.0,Middle_East,48904.0567825,1.701947951
2020,Saudi Arabia,996.0,177119.0,17.0,2372.0,Middle_East,47947.138905,-5.63929532
2020,Senegal,52.0,7648.0,1.0,142.0,Western_Africa,1538.8263210833331,-1.38294226
2021,Senegal,153.0,52407.0,4.0,1324.0,Western_Africa,1634.4928383333333,3.274289805
2021,Seychelles,67.0,13370.0,0.0,64.0,Eastern_Africa,87.58531703499999,1.08717067
2020,Seychelles,1.0,78.0,0.0,0.0,Eastern_Africa,84.3575319575,-8.507936314
2020,Sierra Leone,7.0,1223.0,0.0,43.0,Western_Africa,942.9706638166667,-3.981654333
2021,Sierra Leone,12.0,5132.0,0.0,100.0,Western_Africa,946.2950893000001,0.969818019
2020,Singapore,161.0,34176.0,0.0,19.0,Southeastern Asia,4776.72893,-3.843656456
2021,Singapore,604.0,102075.0,2.0,152.0,Southeastern Asia,4973.811185416666,12.19672081
2020,Slovenia,329.0,15102.0,8.0,347.0,Central Europe,1414.420653833333,-4.868547157
2021,Slovenia,938.0,266263.0,9.0,4703.0,Central Europe,1398.25277,7.879139046
2021,Solomon Islands,0.0,19.0,0.0,0.0,Oceania,39.20747698583333,-2.604359414
2020,Solomon Islands,0.0,3.0,0.0,0.0,Oceania,38.24018099916666,-6.695694408
2021,Somalia,52.0,14940.0,3.0,782.0,Eastern_Africa,2205.373713833333,0.389176873
2020,Somalia,13.0,2225.0,0.0,64.0,Eastern_Africa,2201.7083750833335,-0.462294726
2020,South Africa,2855.0,334448.0,77.0,9001.0,Southern_Africa,39952.39463166668,-7.615875502
2021,South Africa,6596.0,2172872.0,173.0,66659.0,Southern_Africa,40516.65039333334,3.633257723
